,entire,apparel,automotive,baby_product,beauty,book,camera,digital_ebook_purchase,digital_video_download,drugstore,electronics,furniture,grocery,home,home_improvement,industrial_supplies,jewelry,kitchen,lawn_and_garden,luggage,musical_instruments,office_product,other,pc,personal_care_appliances,pet_products,shoes,sports,toy,video_games,watch
13,0.2484,0.24271380793119923,0.25558943089430897,0.22639225181598063,0.27041457286432163,0.2150101419878296,0.2638146167557932,0.166289592760181,0.27624309392265195,0.2529182879377432,0.27423312883435585,0.23324742268041238,0.29079159935379645,0.25222871195819246,0.2566560170394036,0.2339622641509434,0.2475795297372061,0.2443140132061629,0.2733887733887734,0.18338108882521492,0.22569444444444445,0.2548476454293629,0.26176971072036304,0.2844364937388193,0.5,0.25511302475780406,0.23715124816446403,0.23577981651376148,0.26119078661451545,0.3062200956937799,0.27411167512690354
14,-0.3911,-0.5543206908938914,-0.3686541032238575,-0.5784190055713236,-0.48940394772765905,-0.5914527350764598,-0.4422247435440614,-1.2466630554338027,-0.3785224676313783,-0.5435749000729924,-0.2929004014056218,-0.5948914595372123,-0.2933608589321006,-0.39485811848962826,-0.4005098900471531,-0.6520663811049989,-0.46083600396282653,-0.3945046114614173,-0.40863221672410477,-0.9411169090498078,-0.7155312697030654,-0.6018954244877948,-0.4926120946832495,-0.30281168426511407,-0.07526881720430101,-0.6027371848605987,-0.5661676560232154,-0.46440116402815956,-0.39620147455321986,-0.515814425208736,-0.3349200571220563
16,0.3666,0.39464882943143814,0.3470528455284553,0.3486682808716707,0.35207286432160806,0.3691683569979716,0.35472370766488415,0.38687782805429866,0.3397790055248619,0.3420881971465629,0.36625766871165644,0.33634020618556704,0.3877221324717286,0.36873655087611434,0.36900958466453676,0.33773584905660375,0.36099585062240663,0.3932501834189288,0.3404365904365904,0.30659025787965616,0.3159722222222222,0.3628808864265928,0.35592739648326716,0.3637447823494335,0.1,0.3223896663078579,0.3634361233480176,0.3610091743119266,0.38287700999565405,0.3253588516746411,0.3248730964467005
17,0.36660000000000004,0.39464882943143814,0.3470528455284553,0.3486682808716707,0.35207286432160806,0.3691683569979716,0.35472370766488415,0.3868778280542987,0.3397790055248619,0.3420881971465629,0.36625766871165644,0.33634020618556704,0.3877221324717286,0.36873655087611434,0.36900958466453676,0.33773584905660375,0.36099585062240663,0.3932501834189288,0.3404365904365904,0.30659025787965616,0.3159722222222222,0.3628808864265928,0.35592739648326716,0.3637447823494336,0.10000000000000002,0.3223896663078579,0.3634361233480176,0.3610091743119266,0.3828770099956541,0.3253588516746411,0.3248730964467005
18,0.37239999999999995,0.34889587314559967,0.22923291995535122,0.1794701986754966,0.2504996886757077,0.2556348292439383,0.17061118091630267,0.11175249547217558,0.033535878671479336,0.23924580052385758,0.33723830684917655,0.21049764475918853,0.3127637853336843,0.3325551573884724,0.2804152349996961,0.17693053693795024,0.28154417869619797,0.3146642737443699,0.22229675801416338,0.11901891342023962,0.24945506950490895,0.2521584213644096,0.2481286577490418,0.2486697665500216,-0.32104454685099837,0.11330765110501173,0.2603607895512776,0.2433539295561974,0.373905418625182,0.1299471673192133,0.2249740990675665
20,0.3822,0.39369326325848064,0.36585365853658536,0.36319612590799033,0.376570351758794,0.40162271805273836,0.35294117647058826,0.3987556561085973,0.3370165745856354,0.3537613488975357,0.3889570552147239,0.3479381443298969,0.3990306946688207,0.3808791884414387,0.3722044728434505,0.35094339622641507,0.36376210235131395,0.3987527512839325,0.36694386694386694,0.332378223495702,0.3263888888888889,0.37742382271468145,0.3624503686897334,0.38223017292784733,0.15,0.32669537136706134,0.37151248164464024,0.37155963302752293,0.40721425467188177,0.3157894736842105,0.3096446700507614
21,0.3822,0.3936932632584807,0.36585365853658536,0.36319612590799033,0.37657035175879405,0.4016227180527384,0.35294117647058826,0.3987556561085973,0.3370165745856354,0.3537613488975357,0.3889570552147239,0.3479381443298969,0.3990306946688207,0.3808791884414387,0.37220447284345043,0.35094339622641507,0.3637621023513139,0.3987527512839325,0.36694386694386694,0.332378223495702,0.3263888888888889,0.37742382271468145,0.36245036868973335,0.38223017292784733,0.15,0.32669537136706134,0.3715124816446403,0.371559633027523,0.40721425467188177,0.3157894736842105,0.3096446700507614
22,0.28769999999999996,0.3238802820945291,0.1555943061706363,0.1335751077472931,0.1713271205780712,0.23280763067408572,0.12239090073701785,0.09667421993235137,0.023047120765588458,0.17134887399860343,0.23278752187506144,0.21118837297899684,0.2928545816899176,0.2603638587427253,0.2118588068155698,0.17184986124003643,0.21557093980755426,0.2353969524953288,0.148158220291842,0.07628475623540054,0.2114090131203652,0.1951991613428816,0.17828420663690614,0.16181565426568068,-0.4132104454685097,0.04330562356067047,0.23182999592789022,0.1809597305165238,0.32850564290997597,0.05354026133308187,0.17532831181922548
24,0.3522,0.3924988055422838,0.3490853658536585,0.3365617433414044,0.3439070351758794,0.35598377281947263,0.3511586452762923,0.38687782805429866,0.3287292817679558,0.3339818417639429,0.3570552147239264,0.3324742268041237,0.3788368336025848,0.36059022440823857,0.3588924387646432,0.32075471698113206,0.343015214384509,0.38701393983859134,0.3393970893970894,0.30945558739255014,0.3159722222222222,0.35803324099722994,0.3440158820192853,0.3530113297555158,0.1,0.32669537136706134,0.36123348017621143,0.36009174311926606,0.3720121686223381,0.3253588516746411,0.3401015228426396
25,0.3522,0.3924988055422838,0.3490853658536585,0.3365617433414044,0.3439070351758794,0.35598377281947263,0.3511586452762923,0.3868778280542987,0.3287292817679558,0.3339818417639429,0.3570552147239264,0.3324742268041237,0.3788368336025848,0.3605902244082386,0.3588924387646433,0.32075471698113206,0.343015214384509,0.38701393983859134,0.3393970893970894,0.30945558739255014,0.3159722222222222,0.35803324099722994,0.3440158820192853,0.3530113297555158,0.10000000000000002,0.32669537136706134,0.36123348017621143,0.3600917431192661,0.3720121686223381,0.3253588516746411,0.3401015228426396
26,0.38649999999999995,0.3505728960093586,0.2414247434296417,0.16582571218332812,0.25721736112035565,0.2645672112930111,0.14956960411079656,0.11906317452178729,0.03203748468492351,0.2449553147998449,0.3506881339554326,0.2063532754403392,0.31018296263912193,0.34172230642285306,0.2762915400713276,0.17354341980600763,0.30329359811003664,0.3183716540255055,0.23582203178783012,0.11737529199005348,0.2546431681028013,0.24646249536225684,0.23838939165770812,0.2596319360616375,-0.4132104454685097,0.11977370184203917,0.27635532537044927,0.24894146976870546,0.37094915416000573,0.07572291145808774,0.23324839694228997
